TE	gene	distance	TE.type	gene.type	order	ratio.BW.gene	ratio.BP.gene	ratio.BW.TE	ratio.BP.TE	gene.variability
RLG00001Zm00001d12334	Zm00001d046395	-47897	matTE	MEG	RLG	NA	1	1	1	variable
RLC02716Zm00001d00002	Zm00001d005712	-29185	matTE	MEG	RLC	1	1	1	1	variable
RLC00183Zm00001dS0162	Zm00001d046395	-10170	matTE	MEG	RLC	NA	1	NA	1	variable
RLG00003Zm00001d07748	Zm00001d046395	-3398	matTE	MEG	RLG	NA	1	NA	1	variable
RLG00003Zm00001d02516	Zm00001d005712	-3087	matTE	MEG	RLG	1	1	1	1	variable
RLG00017Zm00001dS0065	Zm00001d038034	-2662	matTE	MEG	RLG	0.91461796626258	0.776546976152079	0.956875803150881	0.817167014270314	variable
RLX11772Zm00001d00001	Zm00001d041755	-1453	matTE	MEG	RLX	1	NA	1	NA	variable
RLG00003Zm00001d01354	Zm00001d031633	-925	matTE	MEG	RLG	1	NA	1	0.84132333280927	variable
RLC00004Zm00001d02983	Zm00001d007488	-852	matTE	MEG	RLC	0.954011985857304	0.97125953348783	0.912021829042619	0.991412204329943	variable
RLC00002Zm00001d00679	Zm00001d026623	-797	matTE	MEG	RLC	0.996352426795508	0.735195542180308	1	0.701963245647581	conserved.maize
DHH00002Zm00001d06247	Zm00001d029042	0	matTE	MEG	DHH	NA	1	NA	1	variable
RLX19061Zm00001d00001	Zm00001d023985	0	matTE	MEG	RLX	1	1	0.970951819924884	1	variable
DHH00002Zm00001d01432	Zm00001d004147	0	matTE	MEG	DHH	0.992924908395329	1	1	1	variable
DHH00002Zm00001d07691	Zm00001d041887	0	matTE	MEG	DHH	0.982580807947293	0.846116079197229	0.986576458084112	0.961109424799378	variable
RLX11446Zm00001d00001	Zm00001d043716	0	matTE	MEG	RLX	0.986874554744319	NA	0.987866794510396	0.739333537947825	conserved.maize
DHH00002Zm00001d02512	Zm00001d048646	0	matTE	MEG	DHH	1	NA	1	0.415964713897954	variable
DHH00002Zm00001d02687	Zm00001d050068	0	matTE	MEG	DHH	1	1	1	1	variable
DHH00002Zm00001d08890	Zm00001d017481	1078	matTE	MEG	DHH	0.93278143257682	1	1	0.995972140474653	variable
RLX11447Zm00001d00001	Zm00001d043716	1670	matTE	MEG	RLX	0.986874554744319	NA	0.945756766988098	NA	conserved.maize
